transaction_id,customer_id,beneficiary_id,device_id,country,amount_usd,hour,is_new_beneficiary,is_cross_border,transactions_last_60m,label_synthetic_fraud
T000001,C0014,B0228,D0002,CN,426.83,9,1,0,3,0
T000002,C0117,B0124,D0102,CN,69.74,6,0,0,2,0
T000003,C0099,B0256,D0134,ID,9.59,17,0,0,4,0
T000004,C0066,B0198,D0003,GB,25.36,23,0,0,4,0
T000005,C0065,B0169,D0069,GB,615.0,16,0,0,6,0
T000006,C0129,B0234,D0002,GB,99.36,0,0,1,4,0
T000007,C0013,B0134,D0067,ID,70.05,11,1,1,4,0
T000008,C0105,B0187,D0128,HK,767.13,17,0,1,4,0
T000009,C0031,B0074,D0084,SG,525.93,9,0,0,4,0
T000010,C0015,B0250,D0005,ID,3363.714010420748,0,1,1,8,1
T000011,C0079,B0162,D0095,ID,110.67,16,0,0,4,0
T000012,C0147,B0203,D0009,HK,130.05,1,1,0,3,0
T000013,C0111,B0120,D0167,US,186.26,13,0,0,3,0
T000014,C0115,B0225,D0108,ID,735.13,4,0,1,3,0
T000015,C0108,B0020,D0001,DE,226.44,11,0,1,3,0
T000016,C0118,B0030,D0088,CN,306.75,9,0,0,1,0
T000017,C0077,B0132,D0111,US,477.84,19,0,0,1,0
T000018,C0020,B0190,D0047,HK,46.08,20,0,0,4,0
T000019,C0126,B0210,D0052,HK,315.72,11,0,0,2,0
T000020,C0068,B0114,D0075,CN,110.55,12,0,0,2,0
T000021,C0076,B0169,D0047,MY,11.99,15,0,0,2,0
T000022,C0056,B0144,D0136,HK,17.67,15,0,0,4,0
T000023,C0028,B0250,D0019,HK,53.62,15,0,0,5,0
T000024,C0140,B0170,D0148,CN,252.45,18,0,1,3,0
T000025,C0118,B0108,D0063,GB,166.3,23,0,0,1,0
T000026,C0097,B0252,D0101,ID,178.46,19,0,0,2,0
T000027,C0061,B0028,D0029,HK,1044.13,3,1,0,2,0
T000028,C0124,B0256,D0069,HK,41.72,11,0,0,2,0
T000029,C0082,B0040,D0136,MY,144.4,11,0,0,3,0
T000030,C0067,B0075,D0049,HK,201.23,12,0,1,4,0
T000031,C0068,B0213,D0024,HK,71.07,12,0,1,1,0
T000032,C0035,B0191,D0094,TH,152.68,17,0,0,1,0
T000033,C0014,B0252,D0030,HK,29.97,10,1,0,4,0
T000034,C0084,B0195,D0057,ID,607.84,6,0,0,3,0
T000035,C0134,B0165,D0081,ID,75.07,10,0,0,2,0
T000036,C0010,B0090,D0101,ID,1131.61,20,0,0,4,0
T000037,C0129,B0002,D0002,ID,143.67,7,0,1,4,0
T000038,C0125,B0033,D0122,SG,414.91,0,0,0,3,0
T000039,C0042,B0078,D0152,US,140.71,23,0,0,2,0
T000040,C0095,B0011,D0012,GB,143.92,4,0,0,3,0
T000041,C0025,B0132,D0065,ID,82.76,14,0,0,2,0
T000042,C0114,B0202,D0001,CN,167.19,19,0,1,1,0
T000043,C0106,B0250,D0002,ID,203.98,6,0,0,1,0
T000044,C0054,B0127,D0038,MY,67.74,8,0,0,1,0
T000045,C0011,B0227,D0108,ID,130.97,6,0,0,4,0
T000046,C0146,B0256,D0161,CN,80.63,3,0,1,2,0
T000047,C0067,B0223,D0139,SG,1479.8,3,0,0,3,0
T000048,C0134,B0121,D0116,CN,135.68,4,0,0,4,0
T000049,C0102,B0085,D0140,SG,695.92,10,0,0,1,0
T000050,C0117,B0254,D0031,US,1786.415100928813,4,1,1,17,1
T000051,C0114,B0063,D0151,ID,192.34,0,0,1,5,0
