transaction_id,customer_id,beneficiary_id,device_id,country,amount_usd,hour,is_new_beneficiary,is_cross_border,transactions_last_60m,label_synthetic_fraud,amount_robust_z,is_odd_hour,device_customer_count,is_shared_device,beneficiary_customer_count,is_concentrated_beneficiary,high_velocity,alert_score,priority,alert_reasons
T000010,C0015,B0250,D0005,ID,3363.714010420748,0,1,1,8,1,46.75626907331494,1,6,1,8,1,1,100.0,Critical,"unusual amount, high velocity, new beneficiary, cross-border, odd-hour activity, shared device, beneficiary concentration"
T000099,C0096,B0138,D0002,ID,2739.1629571785047,23,1,1,20,1,23.298606549082173,1,12,1,9,1,1,100.0,Critical,"unusual amount, high velocity, new beneficiary, cross-border, odd-hour activity, shared device, beneficiary concentration"
T000130,C0096,B0089,D0104,SG,30835.58533498194,1,1,1,12,1,273.2133750289505,1,9,1,9,1,1,100.0,Critical,"unusual amount, high velocity, new beneficiary, cross-border, odd-hour activity, shared device, beneficiary concentration"
T000201,C0055,B0222,D0155,DE,1760.272239617246,2,1,1,22,1,22.054930277382585,1,6,1,8,1,1,100.0,Critical,"unusual amount, high velocity, new beneficiary, cross-border, odd-hour activity, shared device, beneficiary concentration"
T000221,C0020,B0247,D0152,CN,2075.0608263400864,4,1,1,20,1,15.348375072409,1,5,1,8,1,1,100.0,Critical,"unusual amount, high velocity, new beneficiary, cross-border, odd-hour activity, shared device, beneficiary concentration"
T000258,C0016,B0118,D0049,HK,802.6542980046984,1,1,1,18,1,10.362250756320487,1,6,1,9,1,1,100.0,Critical,"unusual amount, high velocity, new beneficiary, cross-border, odd-hour activity, shared device, beneficiary concentration"
T000386,C0019,B0083,D0022,ID,8015.876794585801,4,1,1,23,1,44.18408531389877,1,8,1,10,1,1,100.0,Critical,"unusual amount, high velocity, new beneficiary, cross-border, odd-hour activity, shared device, beneficiary concentration"
T000542,C0009,B0193,D0168,ID,878.3664662624986,3,1,1,19,1,10.450755651522137,1,11,1,8,1,1,100.0,Critical,"unusual amount, high velocity, new beneficiary, cross-border, odd-hour activity, shared device, beneficiary concentration"
T000692,C0120,B0064,D0071,SG,2792.9160616891327,4,1,1,14,1,12.644040556049825,1,8,1,10,1,1,100.0,Critical,"unusual amount, high velocity, new beneficiary, cross-border, odd-hour activity, shared device, beneficiary concentration"
T000831,C0037,B0144,D0151,ID,4123.000928580706,1,1,1,9,1,54.47247432357189,1,6,1,9,1,1,100.0,Critical,"unusual amount, high velocity, new beneficiary, cross-border, odd-hour activity, shared device, beneficiary concentration"
